DateTime,Open,High,Low,Close,Volume_(BTC),Volume_(Currency),Weighted_Price,Date,Time
2011-12-31 17:00:00,4.58,4.58,4.58,4.58,9.0,41.22,4.58,2011-12-31,17:00:00
2012-01-01 22:45:00,5.0,5.0,5.0,5.0,10.1,50.5,5.0,2012-01-01,22:45:00
2012-01-02 20:04:00,5.0,5.0,5.0,5.0,19.048,95.24,5.0,2012-01-02,20:04:00
2012-01-03 17:27:00,5.29,5.29,5.29,5.29,4.01081466,21.217209551,5.29,2012-01-03,17:27:00
2012-01-04 17:51:00,5.37,5.57,5.37,5.57,43.31219578,235.74706937,5.4429720112,2012-01-04,17:51:00
2012-01-05 23:46:00,6.65,6.65,6.65,6.65,0.49926578,3.320117437,6.65,2012-01-05,23:46:00
2012-01-06 20:22:00,6.0,6.0,6.0,6.0,1.0,6.0,6.0,2012-01-06,20:22:00
2012-01-07 18:14:00,6.8,6.8,6.8,6.8,0.29585799,2.011834332,6.8,2012-01-07,18:14:00
2012-01-08 23:31:00,7.0,7.0,7.0,7.0,1.0,7.0,7.0,2012-01-08,23:31:00
2012-01-09 22:57:00,6.3,6.3,6.3,6.3,1.0,6.3,6.3,2012-01-09,22:57:00
2012-01-10 22:57:00,7.14,7.14,7.14,7.14,4.59803922,32.830000031,7.14,2012-01-10,22:57:00
2012-01-11 21:15:00,7.0,7.0,7.0,7.0,8.60428571,60.22999997,7.0,2012-01-11,21:15:00
2012-01-12 18:13:00,6.51,6.51,6.51,6.51,0.98,6.3798,6.51,2012-01-12,18:13:00
2012-01-13 23:57:00,6.6,6.6,6.6,6.6,1.0,6.6,6.6,2012-01-13,23:57:00
2012-01-14 20:45:00,6.3,6.3,6.3,6.3,0.21256669,1.339170147,6.3,2012-01-14,20:45:00
2012-01-15 10:30:00,7.15,7.15,7.15,7.15,1.00129502,7.159259392999999,7.15,2012-01-15,10:30:00
2012-01-16 17:49:00,7.1,7.1,7.1,7.1,0.36744541,2.608862411,7.1,2012-01-16,17:49:00
2012-01-17 23:02:00,6.0,6.0,6.0,6.0,20.26763143,121.60578858,6.0,2012-01-17,23:02:00
2012-01-18 14:48:00,7.1,7.1,7.1,7.1,2.0,14.2,7.1,2012-01-18,14:48:00
2012-01-19 23:25:00,6.22,6.22,6.22,6.22,29.15,181.313,6.22,2012-01-19,23:25:00
2012-01-20 15:33:00,6.95,6.95,6.95,6.95,1.5015015,10.435435425,6.95,2012-01-20,15:33:00
2012-01-21 21:41:00,6.77,6.77,6.77,6.77,0.32330844,2.1887981387999997,6.77,2012-01-21,21:41:00
2012-01-22 20:55:00,6.79,6.79,6.79,6.79,0.65,4.4135,6.79,2012-01-22,20:55:00
2012-01-23 18:19:00,6.52,6.52,6.52,6.52,24.41717791,159.19999997,6.52,2012-01-23,18:19:00
2012-01-24 18:44:00,6.55,6.55,6.55,6.55,1.34217464,8.791243892,6.55,2012-01-24,18:44:00
2012-01-25 21:37:00,6.31,6.31,6.31,6.31,0.2,1.262,6.31,2012-01-25,21:37:00
2012-01-26 23:03:00,5.5,5.5,5.5,5.5,1.0,5.5,5.5,2012-01-26,23:03:00
2012-01-27 16:14:00,5.88,5.88,5.88,5.88,9.0,52.92,5.88,2012-01-27,16:14:00
2012-01-28 04:04:00,4.91,4.91,4.91,4.91,0.25,1.2275,4.91,2012-01-28,04:04:00
2012-01-29 23:07:00,5.5,5.5,5.5,5.5,5.0,27.5,5.5,2012-01-29,23:07:00
2012-01-30 19:54:00,5.58,5.58,5.58,5.58,0.19,1.0602,5.58,2012-01-30,19:54:00
2012-01-31 19:23:00,5.3,5.3,5.3,5.3,1.0,5.3,5.3,2012-01-31,19:23:00
2012-02-01 22:08:00,5.88,5.88,5.88,5.88,1.50068027,8.8239999876,5.88,2012-02-01,22:08:00
2012-02-02 23:37:00,6.28,6.28,6.28,6.28,1.57846707,9.9127731996,6.28,2012-02-02,23:37:00
2012-02-03 20:14:00,6.3,6.3,6.3,6.3,4.26,26.838,6.3,2012-02-03,20:14:00
2012-02-04 22:49:00,5.94,5.94,5.94,5.94,2.21,13.1274,5.94,2012-02-04,22:49:00
2012-02-05 23:06:00,5.6,5.6,5.6,5.6,0.2,1.12,5.6,2012-02-05,23:06:00
2012-02-06 23:34:00,5.6,5.6,5.6,5.6,0.03,0.168,5.6,2012-02-06,23:34:00
2012-02-07 20:37:00,5.69,5.69,5.69,5.69,18.98067337,108.00003148,5.69,2012-02-07,20:37:00
2012-02-08 22:14:00,5.87,5.87,5.87,5.87,6.63,38.9181,5.87,2012-02-08,22:14:00
2012-02-09 19:52:00,5.89,5.89,5.89,5.89,3.65365025,21.519999971999997,5.89,2012-02-09,19:52:00
2012-02-10 18:47:00,5.88,5.88,5.88,5.88,14.58673469,85.769999977,5.88,2012-02-10,18:47:00
2012-02-11 09:40:00,5.5,5.5,5.5,5.5,1.7,9.35,5.5,2012-02-11,09:40:00
